# x_m, y_m, w_tr_right_m, w_tr_left_m
0.0000000000,0.0000000000,0.6713202052,0.6713202052
0.0721655035,-0.3188177960,0.6749365949,0.6749365949
0.1442012234,-0.6376376199,0.6785273944,0.6785273944
0.2155866516,-0.9565719202,0.6820953387,0.6820953387
0.2855491046,-1.2757883560,0.6856429682,0.6856429682
0.3533134788,-1.5954550440,0.6891725978,0.6891725978
0.4181045395,-1.9157400358,0.6926862860,0.6926862860
0.4791471829,-2.2368115135,0.6961858068,0.6961858068
0.5356663053,-2.5588374633,0.6996726233,0.6996726233
0.5870094562,-2.8819415197,0.7031478631,0.7031478631
0.6331212945,-3.2060307932,0.7066122966,0.7066122966
0.6741272864,-3.5309465868,0.7100663169,0.7100663169
0.7101531597,-3.8565302688,0.7135099229,0.7135099229
0.7413245769,-4.1826232728,0.7169427045,0.7169427045
0.7677671350,-4.5090668366,0.7203638309,0.7203638309
0.7896066272,-4.8357025245,0.7237720417,0.7237720417
0.8069797059,-5.1624068983,0.7271656402,0.7271656402
0.8200530486,-5.4891506520,0.7305424909,0.7305424909
0.8289981739,-5.8159199831,0.7339000184,0.7339000184
0.8339864694,-6.1427010234,0.7372352106,0.7372352106
0.8351894535,-6.4694799051,0.7405446240,0.7405446240
0.8327785138,-6.7962427600,0.7438243926,0.7438243926
0.8269252996,-7.1229758510,0.7470702388,0.7470702388
0.8178011331,-7.4496652448,0.7502774882,0.7502774882
0.8055775328,-7.7762971387,0.7534410867,0.7534410867
0.7904259516,-8.1028575992,0.7565556200,0.7565556200
0.7725179735,-8.4293329547,0.7596153364,0.7596153364
0.7520249207,-8.7557092063,0.7626141716,0.7626141716
0.7291183770,-9.0819725513,0.7655457762,0.7655457762
0.7039711037,-9.4081097106,0.7684035451,0.7684035451
0.6767824207,-9.7341175442,0.7711806494,0.7711806494
0.6477750012,-10.0600022012,0.7738700698,0.7738700698
0.6171726301,-10.3857700921,0.7764646323,0.7764646323
0.5851989619,-10.7114276277,0.7789570447,0.7789570447
0.5520775854,-11.0369811533,0.7813399353,0.7813399353
0.5180321549,-11.3624372104,0.7836058923,0.7836058923
0.4832863901,-11.6878020788,0.7857475042,0.7857475042
0.4480640107,-12.0130822346,0.7877574008,0.7877574008
0.4125885402,-12.3382840885,0.7896282954,0.7896282954
0.3770836984,-12.6634140512,0.7913530262,0.7913530262
0.3417731394,-12.9884785333,0.7929245990,0.7929245990
0.3068805831,-13.3134840110,0.7943362286,0.7943362286
0.2726296183,-13.6384367642,0.7955813806,0.7955813806
0.2388974608,-13.9633460816,0.7966538124,0.7966538124
0.2039284341,-14.2882337467,0.7975476129,0.7975476129
0.1654865188,-14.6131255330,0.7982572417,0.7982572417
0.1214613574,-14.9380524471,0.7987775668,0.7987775668
0.0766358420,-15.2633318179,0.7991039011,0.7991039011
0.0461091563,-15.5897097703,0.7992320361,0.7992320361
0.0458205448,-15.9179590530,0.7991582754,0.7991582754
0.0889072608,-16.2448535232,0.7988794644,0.7988794644
0.1812525441,-16.5568140483,0.7983930192,0.7983930192
0.3275812635,-16.8386081287,0.7976969520,0.7976969520
0.5319988065,-17.0757461844,0.7967898941,0.7967898941
0.7875255760,-17.2670334735,0.7956711168,0.7956711168
1.0776128546,-17.4227519448,0.7943405489,0.7943405489
1.3854977561,-17.5535401901,0.7927987908,0.7927987908
1.6993633658,-17.6690340531,0.7910471267,0.7910471267
2.0145117660,-17.7774259927,0.7890875322,0.7890875322
